Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType,compound_encoded,is_fresh_tyre,tyre_life_squared,stint_progress,deg_rate
GAS,Alpine,2.0,1.0,SOFT,2.0,True,21,100.438,2023,Bahrain Grand Prix,R,0,1,4.0,0.25,0.12153571428571393
GAS,Alpine,3.0,1.0,SOFT,3.0,True,1,100.643,2023,Bahrain Grand Prix,R,0,1,9.0,0.375,0.12153571428571393
GAS,Alpine,4.0,1.0,SOFT,4.0,True,1,100.894,2023,Bahrain Grand Prix,R,0,1,16.0,0.5,0.12153571428571393
GAS,Alpine,5.0,1.0,SOFT,5.0,True,1,100.818,2023,Bahrain Grand Prix,R,0,1,25.0,0.625,0.12153571428571393
GAS,Alpine,6.0,1.0,SOFT,6.0,True,1,101.11,2023,Bahrain Grand Prix,R,0,1,36.0,0.75,0.12153571428571393
GAS,Alpine,7.0,1.0,SOFT,7.0,True,1,101.134,2023,Bahrain Grand Prix,R,0,1,49.0,0.875,0.12153571428571393
GAS,Alpine,8.0,1.0,SOFT,8.0,True,1,101.173,2023,Bahrain Grand Prix,R,0,1,64.0,1.0,0.12153571428571393
GAS,Alpine,11.0,2.0,HARD,2.0,True,1,98.762,2023,Bahrain Grand Prix,R,2,1,4.0,0.13333333333333333,0.04772087912087684
GAS,Alpine,12.0,2.0,HARD,3.0,True,1,98.928,2023,Bahrain Grand Prix,R,2,1,9.0,0.2,0.04772087912087684
GAS,Alpine,13.0,2.0,HARD,4.0,True,1,99.349,2023,Bahrain Grand Prix,R,2,1,16.0,0.26666666666666666,0.04772087912087684
GAS,Alpine,14.0,2.0,HARD,5.0,True,1,98.859,2023,Bahrain Grand Prix,R,2,1,25.0,0.3333333333333333,0.04772087912087684
GAS,Alpine,15.0,2.0,HARD,6.0,True,1,98.985,2023,Bahrain Grand Prix,R,2,1,36.0,0.4,0.04772087912087684
GAS,Alpine,16.0,2.0,HARD,7.0,True,1,98.945,2023,Bahrain Grand Prix,R,2,1,49.0,0.4666666666666667,0.04772087912087684
GAS,Alpine,17.0,2.0,HARD,8.0,True,1,99.011,2023,Bahrain Grand Prix,R,2,1,64.0,0.5333333333333333,0.04772087912087684
GAS,Alpine,18.0,2.0,HARD,9.0,True,1,99.029,2023,Bahrain Grand Prix,R,2,1,81.0,0.6,0.04772087912087684
GAS,Alpine,19.0,2.0,HARD,10.0,True,1,99.066,2023,Bahrain Grand Prix,R,2,1,100.0,0.6666666666666666,0.04772087912087684
GAS,Alpine,20.0,2.0,HARD,11.0,True,1,99.017,2023,Bahrain Grand Prix,R,2,1,121.0,0.7333333333333333,0.04772087912087684
GAS,Alpine,21.0,2.0,HARD,12.0,True,1,99.327,2023,Bahrain Grand Prix,R,2,1,144.0,0.8,0.04772087912087684
GAS,Alpine,22.0,2.0,HARD,13.0,True,1,99.485,2023,Bahrain Grand Prix,R,2,1,169.0,0.8666666666666667,0.04772087912087684
GAS,Alpine,23.0,2.0,HARD,14.0,True,1,99.263,2023,Bahrain Grand Prix,R,2,1,196.0,0.9333333333333333,0.04772087912087684
GAS,Alpine,24.0,2.0,HARD,15.0,True,1,99.761,2023,Bahrain Grand Prix,R,2,1,225.0,1.0,0.04772087912087684
GAS,Alpine,27.0,3.0,HARD,2.0,True,1,98.729,2023,Bahrain Grand Prix,R,2,1,4.0,0.14285714285714285,0.014225274725277825
GAS,Alpine,28.0,3.0,HARD,3.0,True,1,97.761,2023,Bahrain Grand Prix,R,2,1,9.0,0.21428571428571427,0.014225274725277825
GAS,Alpine,29.0,3.0,HARD,4.0,True,1,98.012,2023,Bahrain Grand Prix,R,2,1,16.0,0.2857142857142857,0.014225274725277825
GAS,Alpine,30.0,3.0,HARD,5.0,True,1,97.76,2023,Bahrain Grand Prix,R,2,1,25.0,0.35714285714285715,0.014225274725277825
GAS,Alpine,31.0,3.0,HARD,6.0,True,1,97.968,2023,Bahrain Grand Prix,R,2,1,36.0,0.42857142857142855,0.014225274725277825
GAS,Alpine,32.0,3.0,HARD,7.0,True,1,98.012,2023,Bahrain Grand Prix,R,2,1,49.0,0.5,0.014225274725277825
GAS,Alpine,33.0,3.0,HARD,8.0,True,1,97.974,2023,Bahrain Grand Prix,R,2,1,64.0,0.5714285714285714,0.014225274725277825
GAS,Alpine,34.0,3.0,HARD,9.0,True,1,98.022,2023,Bahrain Grand Prix,R,2,1,81.0,0.6428571428571429,0.014225274725277825
GAS,Alpine,35.0,3.0,HARD,10.0,True,1,98.088,2023,Bahrain Grand Prix,R,2,1,100.0,0.7142857142857143,0.014225274725277825
GAS,Alpine,36.0,3.0,HARD,11.0,True,1,98.184,2023,Bahrain Grand Prix,R,2,1,121.0,0.7857142857142857,0.014225274725277825
GAS,Alpine,37.0,3.0,HARD,12.0,True,1,98.133,2023,Bahrain Grand Prix,R,2,1,144.0,0.8571428571428571,0.014225274725277825
GAS,Alpine,38.0,3.0,HARD,13.0,True,1,98.108,2023,Bahrain Grand Prix,R,2,1,169.0,0.9285714285714286,0.014225274725277825
GAS,Alpine,39.0,3.0,HARD,14.0,True,1,98.537,2023,Bahrain Grand Prix,R,2,1,196.0,1.0,0.014225274725277825
GAS,Alpine,42.0,4.0,SOFT,2.0,True,1,95.068,2023,Bahrain Grand Prix,R,0,1,4.0,0.11764705882352941,0.16272794117647277
GAS,Alpine,43.0,4.0,SOFT,3.0,True,1,95.942,2023,Bahrain Grand Prix,R,0,1,9.0,0.17647058823529413,0.16272794117647277
GAS,Alpine,44.0,4.0,SOFT,4.0,True,1,95.792,2023,Bahrain Grand Prix,R,0,1,16.0,0.23529411764705882,0.16272794117647277
GAS,Alpine,45.0,4.0,SOFT,5.0,True,1,96.186,2023,Bahrain Grand Prix,R,0,1,25.0,0.29411764705882354,0.16272794117647277
GAS,Alpine,46.0,4.0,SOFT,6.0,True,1,96.041,2023,Bahrain Grand Prix,R,0,1,36.0,0.35294117647058826,0.16272794117647277
GAS,Alpine,47.0,4.0,SOFT,7.0,True,1,96.12,2023,Bahrain Grand Prix,R,0,1,49.0,0.4117647058823529,0.16272794117647277
GAS,Alpine,48.0,4.0,SOFT,8.0,True,1,96.368,2023,Bahrain Grand Prix,R,0,1,64.0,0.47058823529411764,0.16272794117647277
GAS,Alpine,49.0,4.0,SOFT,9.0,True,1,96.803,2023,Bahrain Grand Prix,R,0,1,81.0,0.5294117647058824,0.16272794117647277
GAS,Alpine,50.0,4.0,SOFT,10.0,True,1,96.551,2023,Bahrain Grand Prix,R,0,1,100.0,0.5882352941176471,0.16272794117647277
GAS,Alpine,51.0,4.0,SOFT,11.0,True,1,96.635,2023,Bahrain Grand Prix,R,0,1,121.0,0.6470588235294118,0.16272794117647277
GAS,Alpine,52.0,4.0,SOFT,12.0,True,1,96.891,2023,Bahrain Grand Prix,R,0,1,144.0,0.7058823529411765,0.16272794117647277
GAS,Alpine,53.0,4.0,SOFT,13.0,True,1,96.979,2023,Bahrain Grand Prix,R,0,1,169.0,0.7647058823529411,0.16272794117647277
GAS,Alpine,54.0,4.0,SOFT,14.0,True,1,97.222,2023,Bahrain Grand Prix,R,0,1,196.0,0.8235294117647058,0.16272794117647277
GAS,Alpine,55.0,4.0,SOFT,15.0,True,1,97.559,2023,Bahrain Grand Prix,R,0,1,225.0,0.8823529411764706,0.16272794117647277
GAS,Alpine,56.0,4.0,SOFT,16.0,True,1,97.845,2023,Bahrain Grand Prix,R,0,1,256.0,0.9411764705882353,0.16272794117647277
GAS,Alpine,57.0,4.0,SOFT,17.0,True,1,98.147,2023,Bahrain Grand Prix,R,0,1,289.0,1.0,0.16272794117647277
